,locus_tag,description
0,ctg1_61,Periplasmic sensor domain found in signal transduction proteins
1,ctg1_61,GAF domain
2,ctg1_61,His Kinase A (phospho-acceptor) domain
3,ctg1_61,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
4,ctg1_62,Periplasmic binding protein domain
5,ctg1_64,Protein tyrosine and serine/threonine kinase
6,ctg1_66,Squalene/phytoene synthase
7,ctg1_67,Protein tyrosine and serine/threonine kinase
8,ctg1_67,Protein of unknown function (DUF938)
9,ctg1_70,FG-GAP-like repeat
10,ctg1_70,"Galactose oxidase, central domain"
11,ctg1_70,Kelch motif
12,ctg1_70,"Galactose oxidase, central domain"
13,ctg1_70,Kelch motif
14,ctg1_84,Alcohol dehydrogenase GroES-like domain
15,ctg1_84,Glucose dehydrogenase C-terminus
16,ctg1_85,Putative cyclase
17,ctg1_86,"Trehalase-like, N-terminal"
18,ctg1_86,Glycosyl hydrolases family 15
19,ctg1_88,Protein of unknown function (DUF692)
20,ctg1_90,"Bacterial regulatory proteins, tetR family"
21,ctg1_90,"AefR-like transcriptional repressor, C-terminal domain"
22,ctg1_91,DUF218 domain
23,ctg1_92,"Phosphatidate phosphatase APP1, catalytic domain"
24,ctg1_520,Thioesterase superfamily
25,ctg1_522,2-hydroxy-palmitic acid dioxygenase Mpo1-like
26,ctg1_523,RsbT co-antagonist protein rsbRD N-terminal domain
27,ctg1_523,GAF domain
28,ctg1_523,PAS fold
29,ctg1_523,His Kinase A (phospho-acceptor) domain
30,ctg1_523,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
31,ctg1_524,Ornithine cyclodeaminase/mu-crystallin family
32,ctg1_526,Protein of unknown function (DUF2892)
33,ctg1_528,NmrA-like family
34,ctg1_530,"Terpene synthase family 2, C-terminal metal binding"
35,ctg1_531,"Cytochrome C oxidase, cbb3-type, subunit III"
36,ctg1_534,A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
37,ctg1_536,Putative FMN-binding domain
38,ctg1_539,LVIVD repeat
39,ctg1_539,LVIVD repeat
40,ctg1_540,Methyltransferase domain
41,ctg1_803,Protein tyrosine and serine/threonine kinase
42,ctg1_803,PEGA domain
43,ctg1_804,ABC-2 type transporter
44,ctg1_805,ABC transporter
45,ctg1_806,ABC transporter
46,ctg1_806,ABC transporter
47,ctg1_806,ABC transporter
48,ctg1_807,AAA ATPase domain
49,ctg1_807,"AAA domain, putative AbiEii toxin, Type IV TA system"
50,ctg1_809,Amidohydrolase
